date,date_format,open,close
"Dec 12, 2016",20161112,3233.67,3152.97
"Dec 9, 2016",20161109,3209.34,3232.88
"Dec 8, 2016",20161108,3225.55,3215.37
"Dec 7, 2016",20161107,3198.47,3222.24
"Dec 6, 2016",20161106,3202.03,3199.65
"Dec 5, 2016",20161105,3203.78,3204.71
"Dec 2, 2016",20161102,3270.12,3243.84
"Dec 1, 2016",20161101,3257.03,3273.31
"Nov 30, 2016",20161130,3272.14,3250.03
"Nov 29, 2016",20161129,3269.23,3282.92
"Nov 28, 2016",20161128,3270.05,3277.0
"Nov 25, 2016",20161125,3241.24,3261.94
"Nov 24, 2016",20161124,3237.43,3241.74
"Nov 23, 2016",20161123,3247.94,3241.14
"Nov 22, 2016",20161122,3220.98,3248.35
"Nov 21, 2016",20161121,3188.5,3218.15
"Nov 18, 2016",20161118,3207.19,3192.86
"Nov 17, 2016",20161117,3198.5,3208.45
"Nov 16, 2016",20161116,3208.5,3205.06
"Nov 15, 2016",20161115,3209.95,3206.99
"Nov 14, 2016",20161114,3187.71,3210.37
"Nov 11, 2016",20161111,3169.4,3196.04
"Nov 10, 2016",20161110,3148.54,3171.28
"Nov 9, 2016",20161109,3146.08,3128.37
"Nov 8, 2016",20161108,3140.94,3147.89
"Nov 7, 2016",20161107,3124.89,3133.33
"Nov 4, 2016",20161104,3126.35,3125.32
"Nov 3, 2016",20161103,3096.76,3128.94
"Nov 2, 2016",20161102,3115.73,3102.73
"Nov 1, 2016",20161101,3101.66,3122.44
"Oct 31, 2016",20161031,3097.19,3100.49
"Oct 28, 2016",20161028,3111.7,3104.27
"Oct 27, 2016",20161027,3112.6,3112.35
"Oct 26, 2016",20161026,3129.84,3116.31
"Oct 25, 2016",20161025,3127.97,3131.94
"Oct 24, 2016",20161024,3092.05,3128.25
"Oct 21, 2016",20161021,3081.39,3090.94
"Oct 20, 2016",20161020,3084.91,3084.46
"Oct 19, 2016",20161019,3085.75,3084.72
"Oct 18, 2016",20161018,3037.4,3083.88
"Oct 17, 2016",20161017,3064.69,3041.17
"Oct 14, 2016",20161014,3056.99,3063.81
"Oct 13, 2016",20161013,3057.97,3061.35
"Oct 12, 2016",20161012,3057.32,3058.5
"Oct 11, 2016",20161011,3051.62,3065.25
"Oct 10, 2016",20161010,3020.46,3048.14
"Sep 30, 2016",20160930,2994.25,3004.7
"Sep 29, 2016",20160929,2992.17,2998.48
"Sep 28, 2016",20160928,3000.7,2987.86
"Sep 27, 2016",20160927,2974.59,2998.17
"Sep 26, 2016",20160926,3028.24,2980.43
"Sep 23, 2016",20160923,3044.79,3033.9
"Sep 22, 2016",20160922,3038.42,3042.31
"Sep 21, 2016",20160921,3021.58,3025.87
"Sep 20, 2016",20160920,3027.17,3023.0
"Sep 19, 2016",20160919,3005.32,3026.05
"Sep 14, 2016",20160914,3008.9,3002.85
"Sep 13, 2016",20160913,3025.03,3023.51
"Sep 12, 2016",20160912,3037.51,3021.98
"Sep 9, 2016",20160909,3095.43,3078.85
"Sep 8, 2016",20160908,3089.95,3095.95
"Sep 7, 2016",20160907,3091.33,3091.93
"Sep 6, 2016",20160906,3071.06,3090.71
"Sep 5, 2016",20160905,3070.71,3072.1
"Sep 2, 2016",20160902,3057.49,3067.35
"Sep 1, 2016",20160901,3083.96,3063.31
"Aug 31, 2016",20160831,3072.92,3085.49
"Aug 30, 2016",20160830,3071.44,3074.68
"Aug 29, 2016",20160829,3068.46,3070.03
"Aug 26, 2016",20160826,3069.85,3070.31
"Aug 25, 2016",20160825,3073.44,3068.33
"Aug 24, 2016",20160824,3092.02,3085.88
"Aug 23, 2016",20160823,3081.57,3089.71
"Aug 22, 2016",20160822,3107.38,3084.81
"Aug 19, 2016",20160819,3100.39,3108.1
"Aug 18, 2016",20160818,3107.75,3104.11
"Aug 17, 2016",20160817,3106.99,3109.55
"Aug 16, 2016",20160816,3130.53,3110.04
"Aug 15, 2016",20160815,3056.48,3125.2
"Aug 12, 2016",20160812,3000.27,3050.67
"Aug 11, 2016",20160811,3013.68,3002.64
"Aug 10, 2016",20160810,3023.47,3018.75
"Aug 9, 2016",20160809,3001.31,3025.68
"Aug 8, 2016",20160808,2972.62,3004.28
"Aug 5, 2016",20160805,2978.78,2976.7
"Aug 4, 2016",20160804,2976.41,2982.43
"Aug 3, 2016",20160803,2963.21,2978.46
"Aug 2, 2016",20160802,2950.08,2971.28
"Aug 1, 2016",20160801,2971.95,2953.39
"Jul 29, 2016",20160729,2992.54,2979.34
"Jul 28, 2016",20160728,2980.5,2994.32
"Jul 27, 2016",20160727,3050.37,2992.0
"Jul 26, 2016",20160726,3014.04,3050.17
"Jul 25, 2016",20160725,3008.09,3015.83
"Jul 22, 2016",20160722,3038.12,3012.82
"Jul 21, 2016",20160721,3027.6,3039.01
"Jul 20, 2016",20160720,3034.71,3027.9
"Jul 19, 2016",20160719,3040.23,3036.6
"Jul 18, 2016",20160718,3047.64,3043.56
"Jul 15, 2016",20160715,3056.68,3054.3
"Jul 14, 2016",20160714,3054.97,3054.02
"Jul 13, 2016",20160713,3049.51,3060.69
"Jul 12, 2016",20160712,2992.52,3049.38
"Jul 11, 2016",20160711,2993.75,2994.92
"Jul 8, 2016",20160708,3000.33,2988.09
"Jul 7, 2016",20160707,3009.35,3016.85
"Jul 6, 2016",20160706,2998.52,3017.29
"Jul 5, 2016",20160705,2991.75,3006.39
"Jul 4, 2016",20160704,2924.29,2988.6
"Jul 1, 2016",20160701,2931.8,2932.48
"Jun 30, 2016",20160630,2931.48,2929.61
"Jun 29, 2016",20160629,2918.53,2931.59
"Jun 28, 2016",20160628,2885.01,2912.56
"Jun 27, 2016",20160627,2840.56,2895.7
"Jun 24, 2016",20160624,2883.76,2854.29
"Jun 23, 2016",20160623,2902.4,2891.96
"Jun 22, 2016",20160622,2872.73,2905.55
"Jun 21, 2016",20160621,2898.38,2878.56
"Jun 20, 2016",20160620,2887.64,2888.81
"Jun 17, 2016",20160617,2873.01,2885.1
"Jun 16, 2016",20160616,2878.4,2872.82
"Jun 15, 2016",20160615,2814.69,2887.21
"Jun 14, 2016",20160614,2824.23,2842.19
"Jun 13, 2016",20160613,2897.27,2833.07
"Jun 8, 2016",20160608,2932.38,2927.16
"Jun 7, 2016",20160607,2936.28,2936.04
"Jun 6, 2016",20160606,2940.99,2934.1
"Jun 3, 2016",20160603,2929.79,2938.68
"Jun 2, 2016",20160602,2911.22,2925.23
"Jun 1, 2016",20160601,2917.15,2913.51
"May 31, 2016",20160531,2822.59,2916.62
"May 30, 2016",20160530,2814.65,2822.45
"May 27, 2016",20160527,2817.97,2821.05
"May 26, 2016",20160526,2813.54,2822.44
"May 25, 2016",20160525,2835.03,2815.09
"May 24, 2016",20160524,2839.68,2821.67
"May 23, 2016",20160523,2826.31,2843.64
"May 20, 2016",20160520,2792.89,2825.48
"May 19, 2016",20160519,2802.31,2806.91
"May 18, 2016",20160518,2828.18,2807.51
"May 17, 2016",20160517,2850.93,2843.68
"May 16, 2016",20160516,2816.78,2850.86
"May 13, 2016",20160513,2828.46,2827.11
"May 12, 2016",20160512,2812.11,2835.86
"May 11, 2016",20160511,2843.54,2837.04
"May 10, 2016",20160510,2822.33,2832.59
"May 9, 2016",20160509,2896.16,2832.11
"May 6, 2016",20160506,2998.4,2913.25
"May 5, 2016",20160505,2987.02,2997.84
"May 4, 2016",20160504,2983.03,2991.27
"May 3, 2016",20160503,2940.39,2992.64
"Apr 29, 2016",20160429,2935.38,2938.32
"Apr 28, 2016",20160428,2955.74,2945.59
"Apr 27, 2016",20160427,2967.19,2953.67
"Apr 26, 2016",20160426,2944.72,2964.7
"Apr 25, 2016",20160425,2949.97,2946.67
"Apr 22, 2016",20160422,2933.03,2959.24
"Apr 21, 2016",20160421,2954.37,2952.89
"Apr 20, 2016",20160420,3050.38,2972.58
"Apr 19, 2016",20160419,3047.13,3042.82
"Apr 18, 2016",20160418,3058.46,3033.66
"Apr 15, 2016",20160415,3085.03,3078.12
"Apr 14, 2016",20160414,3080.09,3082.36
"Apr 13, 2016",20160413,3041.36,3066.64
"Apr 12, 2016",20160412,3031.3,3023.65
"Apr 11, 2016",20160411,3006.91,3033.96
"Apr 8, 2016",20160408,2988.2,2984.96
"Apr 7, 2016",20160407,3058.34,3008.42
"Apr 6, 2016",20160406,3039.74,3050.59
"Apr 5, 2016",20160405,3000.94,3053.07
"Apr 1, 2016",20160401,2997.09,3009.53
"Mar 31, 2016",20160331,3009.37,3003.92
"Mar 30, 2016",20160330,2941.22,3000.64
"Mar 29, 2016",20160329,2956.71,2919.83
"Mar 28, 2016",20160328,2988.01,2957.82
"Mar 25, 2016",20160325,2956.2,2979.43
"Mar 24, 2016",20160324,2986.8,2960.97
"Mar 23, 2016",20160323,2991.17,3009.96
"Mar 22, 2016",20160322,3001.63,2999.36
"Mar 21, 2016",20160321,2978.46,3018.8
"Mar 18, 2016",20160318,2915.52,2955.15
"Mar 17, 2016",20160317,2875.41,2904.83
"Mar 16, 2016",20160316,2858.71,2870.43
"Mar 15, 2016",20160315,2853.98,2864.37
"Mar 14, 2016",20160314,2830.08,2859.5
"Mar 11, 2016",20160311,2781.6,2810.31
"Mar 10, 2016",20160310,2847.57,2804.73
"Mar 9, 2016",20160309,2839.41,2862.56
"Mar 8, 2016",20160308,2895.67,2901.39
"Mar 7, 2016",20160307,2886.64,2897.34
"Mar 4, 2016",20160304,2848.54,2874.15
"Mar 3, 2016",20160303,2847.33,2859.76
"Mar 2, 2016",20160302,2733.77,2849.68
"Mar 1, 2016",20160301,2688.38,2733.17
"Feb 29, 2016",20160229,2754.81,2687.98
"Feb 26, 2016",20160226,2760.06,2767.21
"Feb 25, 2016",20160225,2922.24,2741.25
"Feb 24, 2016",20160224,2889.88,2928.9
"Feb 23, 2016",20160223,2925.71,2903.33
"Feb 22, 2016",20160222,2888.6,2927.18
"Feb 19, 2016",20160219,2854.9,2860.02
"Feb 18, 2016",20160218,2881.78,2862.89
"Feb 17, 2016",20160217,2829.76,2867.34
"Feb 16, 2016",20160216,2758.58,2836.57
"Feb 15, 2016",20160215,2684.96,2746.2
"Feb 5, 2016",20160205,2783.08,2763.49
"Feb 4, 2016",20160204,2751.43,2781.02
"Feb 3, 2016",20160203,2719.57,2739.25
"Feb 2, 2016",20160202,2687.98,2749.57
"Feb 1, 2016",20160201,2730.98,2688.85
"Jan 29, 2016",20160129,2652.85,2737.6
"Jan 28, 2016",20160128,2711.16,2655.66
"Jan 27, 2016",20160127,2756.08,2735.56
"Jan 26, 2016",20160126,2907.72,2749.79
"Jan 25, 2016",20160125,2934.08,2938.51
"Jan 22, 2016",20160122,2911.11,2916.56
"Jan 21, 2016",20160121,2934.39,2880.48
"Jan 20, 2016",20160120,2993.01,2976.69
"Jan 19, 2016",20160119,2914.41,3007.74
"Jan 18, 2016",20160118,2847.54,2913.84
"Jan 15, 2016",20160115,2988.05,2900.97
"Jan 14, 2016",20160114,2874.05,3007.65
"Jan 13, 2016",20160113,3041.11,2949.6
"Jan 12, 2016",20160112,3026.16,3022.86
"Jan 11, 2016",20160111,3131.85,3016.7
"Jan 8, 2016",20160108,3194.63,3186.41
"Jan 7, 2016",20160107,3309.66,3125.0
"Jan 6, 2016",20160106,3291.19,3361.84
"Jan 5, 2016",20160105,3196.65,3287.71
"Jan 4, 2016",20160104,3536.59,3296.26
"Dec 31, 2015",20151131,3570.47,3539.18
"Dec 30, 2015",20151130,3566.73,3572.88
"Dec 29, 2015",20151129,3528.4,3563.74
"Dec 28, 2015",20151128,3635.77,3533.78
"Dec 25, 2015",20151125,3614.05,3627.91
"Dec 24, 2015",20151124,3631.31,3612.49
"Dec 23, 2015",20151123,3653.28,3636.09
"Dec 22, 2015",20151122,3645.99,3651.77
"Dec 21, 2015",20151121,3568.58,3642.47
"Dec 18, 2015",20151118,3574.94,3578.96
"Dec 17, 2015",20151117,3533.63,3580.0
"Dec 16, 2015",20151116,3522.09,3516.19
"Dec 15, 2015",20151115,3518.13,3510.35
"Dec 14, 2015",20151114,3403.51,3520.67
"Dec 11, 2015",20151111,3441.6,3434.58
"Dec 10, 2015",20151110,3469.81,3455.5
"Dec 9, 2015",20151109,3462.58,3472.44
"Dec 8, 2015",20151108,3518.65,3470.07
"Dec 7, 2015",20151107,3529.81,3536.93
"Dec 4, 2015",20151104,3558.15,3524.99
"Dec 3, 2015",20151103,3525.73,3584.82
"Dec 2, 2015",20151102,3450.28,3536.91
"Dec 1, 2015",20151101,3442.44,3456.31
"Nov 30, 2015",20151130,3433.86,3445.4
"Nov 27, 2015",20151127,3616.54,3436.3
"Nov 26, 2015",20151126,3659.57,3635.55
"Nov 25, 2015",20151125,3614.07,3647.93
"Nov 24, 2015",20151124,3602.89,3616.11
"Nov 23, 2015",20151123,3630.87,3610.31
"Nov 20, 2015",20151120,3620.79,3630.5
"Nov 19, 2015",20151119,3573.78,3617.06
"Nov 18, 2015",20151118,3605.06,3568.47
"Nov 17, 2015",20151117,3629.98,3604.8
"Nov 16, 2015",20151116,3522.46,3606.96
"Nov 13, 2015",20151113,3600.76,3580.84
"Nov 12, 2015",20151112,3656.82,3632.9
"Nov 11, 2015",20151111,3635.0,3650.25
"Nov 10, 2015",20151110,3617.4,3640.49
"Nov 9, 2015",20151109,3588.5,3646.88
"Nov 6, 2015",20151106,3514.44,3590.03
"Nov 5, 2015",20151105,3459.22,3522.82
"Nov 4, 2015",20151104,3325.62,3459.64
"Nov 3, 2015",20151103,3330.32,3316.7
"Nov 2, 2015",20151102,3337.58,3325.08
"Oct 30, 2015",20151030,3380.28,3382.56
"Oct 29, 2015",20151029,3387.77,3387.32
"Oct 28, 2015",20151028,3417.01,3375.2
"Oct 27, 2015",20151027,3409.14,3434.34
"Oct 26, 2015",20151026,3448.65,3429.58
"Oct 23, 2015",20151023,3377.55,3412.43
"Oct 22, 2015",20151022,3292.29,3368.74
"Oct 21, 2015",20151021,3428.56,3320.68
"Oct 20, 2015",20151020,3377.55,3425.33
"Oct 19, 2015",20151019,3401.63,3386.7
"Oct 16, 2015",20151016,3358.3,3391.35
"Oct 15, 2015",20151015,3255.03,3338.07
"Oct 14, 2015",20151014,3280.02,3262.44
"Oct 13, 2015",20151013,3262.16,3293.23
"Oct 12, 2015",20151012,3193.54,3287.66
"Oct 9, 2015",20151009,3146.64,3183.15
"Oct 8, 2015",20151008,3156.07,3143.36
"Sep 30, 2015",20150930,3052.84,3052.78
"Sep 29, 2015",20150929,3055.22,3038.14
"Sep 28, 2015",20150928,3085.57,3100.76
"Sep 25, 2015",20150925,3130.85,3092.35
"Sep 24, 2015",20150924,3126.49,3142.69
"Sep 23, 2015",20150923,3137.72,3115.89
"Sep 22, 2015",20150922,3161.32,3185.62
"Sep 21, 2015",20150921,3072.09,3156.54
"Sep 18, 2015",20150918,3100.28,3097.92
"Sep 17, 2015",20150917,3131.98,3086.06
"Sep 16, 2015",20150916,2998.04,3152.26
"Sep 15, 2015",20150915,3043.8,3005.17
"Sep 14, 2015",20150914,3221.17,3114.8
"Sep 11, 2015",20150911,3189.48,3200.23
"Sep 10, 2015",20150910,3190.55,3197.89
"Sep 9, 2015",20150909,3182.55,3243.09
"Sep 8, 2015",20150908,3054.44,3170.45
"Sep 7, 2015",20150907,3149.38,3080.42
"Sep 2, 2015",20150902,3027.68,3160.17
"Sep 1, 2015",20150901,3157.83,3166.62
"Aug 31, 2015",20150831,3203.56,3205.99
"Aug 28, 2015",20150828,3125.26,3232.35
"Aug 27, 2015",20150827,2978.03,3083.59
"Aug 26, 2015",20150826,2980.79,2927.29
"Aug 25, 2015",20150825,3004.13,2964.97
"Aug 24, 2015",20150824,3373.48,3209.9
"Aug 21, 2015",20150821,3609.96,3507.74
"Aug 20, 2015",20150820,3754.57,3664.29
"Aug 19, 2015",20150819,3646.8,3794.11
"Aug 18, 2015",20150818,3999.13,3748.16
"Aug 17, 2015",20150817,3947.84,3993.67
"Aug 14, 2015",20150814,3976.41,3965.33
"Aug 13, 2015",20150813,3869.91,3954.56
"Aug 12, 2015",20150812,3881.23,3886.32
"Aug 11, 2015",20150811,3928.81,3927.91
"Aug 10, 2015",20150810,3786.03,3928.42
"Aug 7, 2015",20150807,3692.61,3744.2
"Aug 6, 2015",20150806,3625.5,3661.54
"Aug 5, 2015",20150805,3745.65,3694.57
"Aug 4, 2015",20150804,3621.85,3756.54
"Aug 3, 2015",20150803,3614.99,3622.91
"Jul 31, 2015",20150731,3655.67,3663.73
"Jul 30, 2015",20150730,3773.79,3705.77
"Jul 29, 2015",20150729,3689.82,3789.17
"Jul 28, 2015",20150728,3573.14,3663.0
"Jul 27, 2015",20150727,3985.57,3725.56
"Jul 24, 2015",20150724,4124.75,4070.91
"Jul 23, 2015",20150723,4022.27,4123.92
"Jul 22, 2015",20150722,3996.43,4026.04
"Jul 21, 2015",20150721,3939.9,4017.67
"Jul 20, 2015",20150720,3948.42,3992.11
"Jul 17, 2015",20150717,3831.42,3957.35
"Jul 16, 2015",20150716,3758.5,3823.18
"Jul 15, 2015",20150715,3874.97,3805.7
"Jul 14, 2015",20150714,3958.37,3924.49
"Jul 13, 2015",20150713,3918.99,3970.39
"Jul 10, 2015",20150710,3707.46,3877.8
"Jul 9, 2015",20150709,3432.45,3709.33
"Jul 8, 2015",20150708,3467.4,3507.19
"Jul 7, 2015",20150707,3654.78,3727.12
"Jul 6, 2015",20150706,3975.21,3775.91
"Jul 3, 2015",20150703,3793.71,3686.92
"Jul 2, 2015",20150702,4058.62,3912.77
"Jul 1, 2015",20150701,4214.15,4053.7
"Jun 30, 2015",20150630,4006.75,4277.22
"Jun 29, 2015",20150629,4289.77,4053.03
"Jun 26, 2015",20150626,4399.93,4192.87
"Jun 25, 2015",20150625,4711.76,4527.78
"Jun 24, 2015",20150624,4604.58,4690.15
"Jun 23, 2015",20150623,4471.61,4576.49
"Jun 19, 2015",20150619,4689.93,4478.36
"Jun 18, 2015",20150618,4942.52,4785.36
"Jun 17, 2015",20150617,4890.55,4967.9
"Jun 16, 2015",20150616,5004.41,4887.43
"Jun 15, 2015",20150615,5174.42,5062.99
"Jun 12, 2015",20150612,5143.34,5166.35
"Jun 11, 2015",20150611,5101.44,5121.59
"Jun 10, 2015",20150610,5049.2,5106.04
"Jun 9, 2015",20150609,5145.98,5113.53
"Jun 8, 2015",20150608,5045.69,5131.88
"Jun 5, 2015",20150605,5016.09,5023.1
"Jun 4, 2015",20150604,4912.95,4947.1
"Jun 3, 2015",20150603,4924.38,4909.98
"Jun 2, 2015",20150602,4844.7,4910.53
"Jun 1, 2015",20150601,4633.1,4828.74
"May 29, 2015",20150529,4603.47,4611.74
"May 28, 2015",20150528,4943.74,4620.27
"May 27, 2015",20150527,4932.85,4941.71
"May 26, 2015",20150526,4854.85,4910.9
"May 25, 2015",20150525,4660.08,4813.8
"May 22, 2015",20150522,4584.98,4657.6
"May 21, 2015",20150521,4456.43,4529.42
"May 20, 2015",20150520,4434.98,4446.29
"May 19, 2015",20150519,4285.78,4417.55
"May 18, 2015",20150518,4277.89,4283.49
"May 15, 2015",20150515,4366.82,4308.69
"May 14, 2015",20150514,4372.82,4378.31
"May 13, 2015",20150513,4402.38,4375.76
"May 12, 2015",20150512,4342.37,4401.22
"May 11, 2015",20150511,4231.27,4333.58
"May 8, 2015",20150508,4152.98,4205.92
"May 7, 2015",20150507,4197.9,4112.21
"May 6, 2015",20150506,4311.64,4229.27
"May 5, 2015",20150505,4479.85,4298.71
"May 4, 2015",20150504,4441.34,4480.46
"Apr 30, 2015",20150430,4483.01,4441.66
"Apr 29, 2015",20150429,4446.12,4476.62
"Apr 28, 2015",20150428,4527.64,4476.21
"Apr 27, 2015",20150427,4441.93,4527.4
