SID,category,cname,setlow,myprice,last_price,disct
SH510050,CN,50ETF,1.9,2.348,2.375
SH510300,CN,300ETF,2.81,3.355,3.342
SZ159915,CN,创业板,1.735,1.945,1.914
SH510900,HK,H股ETF,0.802,0.804,1.029
SH512000,CN,券商ETF,0.96,0.988,0.963
SH510880,CN,红利ETF,2.15
SH513030,EUUS,德国30,0.806
SH513500,EUUS,标普500,1.136
SZ161226,PD,白银基金,0.895,1.018,0.963
SZ160216,PD,国泰商品,0.34
SZ162411,PD,华宝油气,0.43
SH502006,ZT,国企改革,0.56
SH501005,ZT,精准医疗,0.93
SZ159939,ZT,信息技术,0.97
SH512680,ZT,军工基金,0.43
SH510230,ZT,金融ETF,4.34